stasjon	region	long	lat	altitude	distroad	distforest	distcoast	distmin5	distmin11
b1	Bekkarfjord	27.24113	70.61185	194.9459991	1091.195584	166.5085887	1048.46836	3300	3300
b2	Bekkarfjord	27.14791	70.64897	369.7789917	4953.504222	853.1154845	1679.687253	1900	8600
b3	Bekkarfjord	27.38268	70.65485	294.3789978	1127.307827	1647.84035	8055.395784	8100	8800
b4	Bekkarfjord	27.39081	70.70982	317.4330139	2362.504366	4992.33465	4237.671644	5000	13400
b5	Bekkarfjord	27.54199	70.6906	378.0029907	2248.882952	7318.70668	9664.482847	8600	8600
b6	Bekkarfjord	27.63718	70.73504	367.9679871	2665.245671	2470.920243	5185.025744	10500	13000
b7	Bekkarfjord	27.50527	70.64753	435.3829956	5262.225483	3896.3006	7081.406969	5700	5700
b8	Bekkarfjord	27.42439	70.60617	260.0010071	2259.612496	718.5156617	6366.832383	6000	6000
g1	Gaissene	26.46455	69.97903	386.0929871	3609.972069	1017.109858	41252.09795	NA	NA
g2	Gaissene	26.63514	70.00977	285.9849854	4892.452085	0	37860.47403	NA	NA
g3	Gaissene	26.53095	70.0549	495	10748.96735	5299.788289	32784.73681	NA	NA
g4	Gaissene	26.57686	70.12355	586.1149902	17549.05539	8484.332468	25244.75295	NA	NA
g5	Gaissene	26.4645	70.17196	579.46698	13661.27335	9542.964967	20201.16721	NA	NA
g6	Gaissene	26.25332	70.1971	359.4719849	9332.791232	3878.873425	20468.11221	NA	NA
g7	Gaissene	26.18933	70.09388	678.4890137	19661.05068	14353.61898	31731.04879	NA	NA
g8	Gaissene	26.19013	70.04643	617	15471.36945	10778.40625	34914.61233	NA	NA
i1	Ifjord	27.68704	70.40041	258.0020142	3537.909621	175.5507115	8065.293871	7000	14500
i10	Ifjord	27.38797	70.38029	443.447998	6955.919362	8452.436797	14650.03441	9900	14400
i2	Ifjord	27.66033	70.35488	307.3340149	8285.005925	4883.96917	11706.22625	8400	16900
i3	Ifjord	27.58868	70.31312	325.3580017	12088.46115	6643.797304	16913.34242	11700	20100
i4	Ifjord	27.5099	70.26624	285.6489868	17173.13913	8463.704764	22798.99624	16700	22900
i5	Ifjord	27.36844	70.26957	350.0209961	18040.37121	10584.57861	24234.71419	21600	24100
i6	Ifjord	27.17135	70.25439	300	21394.40447	12433.16596	23826.48828	22100	23500
i7	Ifjord	26.98169	70.26889	239.3919983	16592.84639	6214.085036	17582.85837	19400	19400
i8	Ifjord	27.07301	70.30453	350.2160034	15410.47295	8744.886158	18000.21259	17700	17900
i9	Ifjord	27.22314	70.3565	417.4089966	10009.09563	8131.853656	13277.63341	10800	13000
k1	Komag	30.65871	70.25596	51.0166016	341.4820069	11345.08302	314.8180671	4800	4800
k2	Komag	30.55473	70.28114	168.8869934	3331.193354	7546.518956	3517.870535	4000	4000
k3	Komag	30.44214	70.30131	200.9980011	6990.296222	4927.009673	7079.203384	6000	6000
k4	Komag	30.28959	70.30679	195.8300018	11141.76484	3777.506614	11394.33175	7600	7600
k5	Komag	30.14442	70.30464	145.9219971	14082.08243	277.468952	15451.91934	11300	11300
k6	Komag	29.99906	70.33639	196.0110016	19368.0945	6103.077198	21576.29927	17800	17800
k7	Komag	29.89548	70.3496	296.2380066	17091.64175	10216.11003	21082.17341	17500	22000
k8	Komag	30.03784	70.37067	227.3580017	16214.62871	8129.006332	17566.89693	NA	NA
m1	Nordkyn	27.78829	70.81864	213.0140076	1926.933593	7661.156413	2456.91471	4400	11500
m10	Nordkyn	27.84612	70.95185	248.6600037	2917.008694	9170.530958	9519.444702	6800	9800
m2	Nordkyn	27.88777	70.861359	306.3720093	5609.291265	8590.001622	6437.009574	5700	5700
m3	Nordkyn	28.11941	70.85841	441.0050049	5039.427514	3824.746545	4877.79009	9200	9200
m4	Nordkyn	28.2551	70.87223	374.5610046	8980.805719	7507.425367	4373.359168	6200	6200
m5	Nordkyn	28.3318	70.92631	421.7319946	13562.15148	13911.2813	4554.340745	9700	9700
m6	Nordkyn	28.44992	70.97953	52.8991013	11156.71722	21213.97052	2360.924469	3500	3500
m7	Nordkyn	28.22305	70.92791	415.7200012	12366.90852	12175.87762	5418.437464	6700	6700
m8	Nordkyn	28.09749	70.90646	129.1329956	9260.1218	9116.917212	9243.139106	4400	4400
m9	Nordkyn	28.05929	70.96569	254.9799957	8134.139142	15722.55013	5711.649148	3200	3200
n1	Nyborg-VJ	28.66795	70.23057	223.5130005	5315.042742	0	5331.380888	5500	5500
n2	Nyborg-VJ	28.73681	70.25459	305.2210083	8424.357966	2600.941171	8529.482877	5900	5900
n3	Nyborg-VJ	28.83945	70.30974	410.4330139	15208.51017	5970.763668	15479.6158	9900	11800
n4	Nyborg-VJ	28.94082	70.34582	409.4299927	13714.2991	8697.335583	19987.4707	11500	16600
n5	Nyborg-VJ	29.08033	70.37183	329.1940002	11544.15944	2798.913433	23350.78891	13000	14600
n6	Nyborg-VJ	29.19964	70.377	244.8099976	12920.90904	77.17882172	26628.34621	12800	12800
n7	Nyborg-VJ	29.42322	70.38023	299	17198.52798	6093.176651	27930.81144	14000	14000
n8	Nyborg-VJ	29.45847	70.3319	306.9970093	22025.17016	6284.067833	24329.47748	14300	19500
s1	Stjernevann	29.08886	70.46598	290.3970032	2649.478767	6628.480085	20616.37542	2900	6400
s2	Stjernevann	29.03396	70.50012	296.3980103	912.3886889	8259.317609	18113.39172	1400	7200
s3	Stjernevann	28.97061	70.5339	309.1099854	3812.486783	9779.844277	15903.5464	5800	8200
s4	Stjernevann	28.86113	70.59093	361.8330078	8157.245728	4412.778238	13022.59459	8500	8500
s5	Stjernevann	28.82995	70.62634	303.6539917	9891.715907	1165.356796	9655.243032	9200	9200
